GDENR,GDENAME,GDEKT,week_until,pop_gde_bfs,n_vac1,n_vac2,proc_vac1,proc_vac2
5721,Gland,VD,2021-09-01,13258,7845,0,0.5898052777986618,0
5722,Grens,VD,2021-09-01,406,265.74869109947645,0,0.6227364185110663,0
5723,Mies,VD,2021-09-01,2165,1251.657658852233,0,0.5975476302624403,0
5724,Nyon,VD,2021-09-01,21718,13655.38950183885,0,0.6265131789319811,0
5725,Prangins,VD,2021-09-01,4099,2715.61049816115,0,0.6451689285016144,0
5726,La Rippe,VD,2021-09-01,1137,693.4149908592321,0,0.6025155514325108,0
5727,Saint-Cergue,VD,2021-09-01,2674,1450.593905758761,0,0.5415769751082895,0
5728,Signy-Avenex,VD,2021-09-01,585,353.25130890052355,0,0.6227364185110664,0
5729,Tannay,VD,2021-09-01,1641,1024.2287047841307,0,0.5974776668418288,0
5730,Trélex,VD,2021-09-01,1449,954,0,0.656121045392022,0
5731,Le Vaud,VD,2021-09-01,1364,801.6754578754578,0,0.6070819112627986,0
5732,Vich,VD,2021-09-01,1155,585.8567415730337,0,0.6058788242351529,0
5741,L'Abergement,VD,2021-09-01,256,160.70038910505838,0,0.5885286783042395,0
5742,Agiez,VD,2021-09-01,376,212,0,0.5578947368421052,0
5743,Arnex-sur-Orbe,VD,2021-09-01,637,385,0,0.6015625,0
5744,Ballaigues,VD,2021-09-01,1144,663,0,0.575021682567216,0
5745,Baulmes,VD,2021-09-01,1075,570.0923076923077,0,0.526113284161656,0
5746,Bavois,VD,2021-09-01,994,558.1385927505331,0,0.5777998017839445,0
5747,Bofflens,VD,2021-09-01,207,100,0,0.4830917874396135,0
5748,Bretonnières,VD,2021-09-01,267,112,0,0.41947565543071164,0
5749,Chavornay,VD,2021-09-01,5229,2961,0,0.5646453089244852,0
5750,Les Clées,VD,2021-09-01,187,116,0,0.6203208556149733,0
5752,Croy,VD,2021-09-01,397,259,0,0.6523929471032746,0
5754,Juriens,VD,2021-09-01,336,153,0,0.45535714285714285,0
5755,Lignerolle,VD,2021-09-01,435,216,0,0.494279176201373,0
5756,Montcherand,VD,2021-09-01,505,287,0,0.567193675889328,0
5757,Orbe,VD,2021-09-01,7108,4256,0,0.593170731707317,0
5758,La Praz,VD,2021-09-01,175,125.41030195381883,0,0.5897988505747127,0
5759,Premier,VD,2021-09-01,218,100,0,0.45662100456621,0
5760,Rances,VD,2021-09-01,513,308,0,0.5992217898832685,0
5761,Romainmôtier-Envy,VD,2021-09-01,526,288,0,0.5454545454545454,0
5762,Sergey,VD,2021-09-01,145,75.29961089494162,0,0.5885286783042394,0
5763,Valeyres-sous-Rances,VD,2021-09-01,610,353,0,0.5777414075286416,0
5764,Vallorbe,VD,2021-09-01,3863,2030,0,0.5109489051094891,0
5765,Vaulion,VD,2021-09-01,505,233.0031746031746,0,0.4636542239685658,0
5766,Vuiteboeuf,VD,2021-09-01,588,293.1898263027295,0,0.4985169652425595,0
5785,Corcelles-le-Jorat,VD,2021-09-01,451,258.74426229508197,0,0.5749914389175877,0
5788,Essertes,VD,2021-09-01,390,268,0,0.6871794871794872,0
5790,Maracon,VD,2021-09-01,537,280,0,0.5204460966542751,0
5792,Montpreveyres,VD,2021-09-01,653,382,0,0.5814307458143074,0
5798,Ropraz,VD,2021-09-01,529,283,0,0.5349716446124764,0
5799,Servion,VD,2021-09-01,2078,1292.7558139534883,0,0.6191207557508838,0
5803,Vulliens,VD,2021-09-01,625,335.4081567409573,0,0.5361514347902566,0
5804,Jorat-Menthue,VD,2021-09-01,1602,919.6407983093022,0,0.5313465656011355,0
5805,Oron,VD,2021-09-01,5664,2953.4977175463623,0,0.5454575412868901,0
5806,Jorat-Mézières,VD,2021-09-01,2968,1839.5514705882351,0,0.6180303631047885,0
5812,Champtauroz,VD,2021-09-01,144,75,0,0.5208333333333334,0
5813,Chevroux,VD,2021-09-01,494,262,0,0.5303643724696356,0
5816,Corcelles-près-Payerne,VD,2021-09-01,2683,1373.9584372402328,0,0.51090573012939,0
5817,Grandcour,VD,2021-09-01,967,469,0,0.4825102880658436,0
5819,Henniez,VD,2021-09-01,391,178.66831683168317,0,0.5109289617486339,0
5821,Missy,VD,2021-09-01,368,160.14285714285714,0,0.959349593495935,0
5822,Payerne,VD,2021-09-01,10069,5118.4463840399,0,0.5045416186603731,0
5827,Trey,VD,2021-09-01,302,160,0,0.5298013245033113,0
5828,Treytorrens (Payerne),VD,2021-09-01,114,61,0,0.5350877192982456,0
5830,Villarzel,VD,2021-09-01,477,231,0,0.48326359832635984,0
5831,Valbroye,VD,2021-09-01,3365,1794.9411889879482,0,0.5353325937917375,0
5841,Château-d'Oex,VD,2021-09-01,3487,1698.2242710251687,0,0.4799312223291364,0
5842,Rossinière,VD,2021-09-01,534,231,0,0.42936802973977695,0
5843,Rougemont,VD,2021-09-01,864,422.61878453038673,0,0.4845908607863974,0
5851,Allaman,VD,2021-09-01,442,279,0,0.6227678571428571,0
5852,Bursinel,VD,2021-09-01,492,312.6771653543307,0,0.6779661016949152,0
5853,Bursins,VD,2021-09-01,779,549.9238782895893,0,0.6474086244372257,0
5854,Burtigny,VD,2021-09-01,403,436.26368715083805,0,0.6312236286919831,0
5855,Dully,VD,2021-09-01,624,444.3307086614173,0,0.6779661016949152,0
5856,Essertines-sur-Rolle,VD,2021-09-01,741,633.9872091041898,0,0.6230888665006242,0
5857,Gilly,VD,2021-09-01,1428,979.6964374738577,0,0.630507694572197,0
5858,Luins,VD,2021-09-01,619,390.2543640897756,0,0.6160714285714286,0
5859,Mont-sur-Rolle,VD,2021-09-01,2658,1713.1459459459459,0,0.6430446194225722,0
5860,Perroy,VD,2021-09-01,1518,939.1410788381743,0,0.6197643979057591,0
5861,Rolle,VD,2021-09-01,6260,3594.6093143596377,0,0.636403831982314,0
5862,Tartegnin,VD,2021-09-01,238,296.0595084087969,0,0.636403831982314,0
5863,Vinzel,VD,2021-09-01,385,235.76016104988926,0,0.6163861343403781,0
5871,L'Abbaye,VD,2021-09-01,1474,868,0,0.5884745762711865,0
5872,Le Chenit,VD,2021-09-01,4595,3086,0,0.6666666666666666,0
5873,Le Lieu,VD,2021-09-01,887,524,0,0.5835189309576837,0
5881,Blonay,VD,2021-09-01,6211,4122.334818114328,0,0.6615409258369375,0
5882,Chardonne,VD,2021-09-01,3092,2107.99876179513,0,0.6503475903618049,0
5883,Corseaux,VD,2021-09-01,2315,1595,0,0.685431886549205,0
5884,Corsier-sur-Vevey,VD,2021-09-01,3419,1962.646769893848,0,0.5753955076129612,0
5885,Jongny,VD,2021-09-01,1671,1132.6754844752386,0,0.6826874274612152,0
5886,Montreux,VD,2021-09-01,26090,14183.543281059227,0,0.5576081038999282,0
5888,Saint-Légier-La Chiésaz,VD,2021-09-01,5521,3778,0,0.6820725762773063,0
5889,La Tour-de-Peilz,VD,2021-09-01,12068,7546,0,0.6222478766389049,0
5890,Vevey,VD,2021-09-01,19752,11278,0,0.5652566158781075,0
5891,Veytaux,VD,2021-09-01,952,1099.121900826446,0,0.5621572212065813,0
5902,Belmont-sur-Yverdon,VD,2021-09-01,397,200.77720207253884,0,0.549645390070922,0
5903,Bioley-Magnoux,VD,2021-09-01,230,159.64000434484717,0,0.5865309639646056,0
5904,Chamblon,VD,2021-09-01,560,364.4653465346535,0,0.6244041944709248,0
5905,Champvent,VD,2021-09-01,696,394.0198511166253,0,0.5642857142857143,0
5907,Chavannes-le-Chêne,VD,2021-09-01,324,167.66,0,0.532051282051282,0
5908,Chêne-Pâquier,VD,2021-09-01,143,81.34,0,0.532051282051282,0
5909,Cheseaux-Noréaz,VD,2021-09-01,740,1202.4228647835532,0,0.5491883434382945,0
5910,Cronay,VD,2021-09-01,396,232,0,0.5858585858585859,0
5911,Cuarny,VD,2021-09-01,232,147.66094271934733,0,0.5869824004915373,0
5912,Démoret,VD,2021-09-01,158,80.41237113402062,0,0.48661800486618007,0
5913,Donneloye,VD,2021-09-01,828,453.5755919854281,0,0.5807165528226248,0
5914,Ependes (VD),VD,2021-09-01,389,187,0,0.480719794344473,0
5919,Mathod,VD,2021-09-01,651,364,0,0.5557251908396946,0
5921,Molondin,VD,2021-09-01,252,119.58762886597938,0,0.48661800486618007,0
5922,Montagny-près-Yverdon,VD,2021-09-01,738,438,0,0.5551330798479087,0
5923,Oppens,VD,2021-09-01,204,99,0,0.48058252427184467,0
5924,Orges,VD,2021-09-01,343,187,0,0.5451895043731778,0
5925,Orzens,VD,2021-09-01,201,134,0,0.6633663366336634,0
5926,Pomy,VD,2021-09-01,807,476,0,0.5891089108910891,0
5928,Rovray,VD,2021-09-01,202,96,0,0.4682926829268293,0
5929,Suchy,VD,2021-09-01,655,363,0,0.5491679273827534,0
5930,Suscévaz,VD,2021-09-01,204,123,0,0.5942028985507246,0
5931,Treycovagnes,VD,2021-09-01,485,290.53465346534654,0,0.6244041944709248,0
5932,Ursins,VD,2021-09-01,239,131.12635379061373,0,0.5958333333333334,0
5933,Valeyres-sous-Montagny,VD,2021-09-01,713,450,0,0.6293706293706294,0
5934,Valeyres-sous-Ursins,VD,2021-09-01,241,154.8736462093863,0,0.5958333333333334,0
5935,Villars-Epeney,VD,2021-09-01,100,53.971014492753625,0,0.5885885885885885,0
5937,Vugelles-La Mothe,VD,2021-09-01,138,70.53631284916202,0,0.4957983193277311,0
5938,Yverdon-les-Bains,VD,2021-09-01,29955,15749.167975931807,0,0.5491915105065365,0
5939,Yvonand,VD,2021-09-01,3470,2078,0,0.5976416450963474,0
